STATE,startWinter,startSpring
Alabama,0,-1
Arkansas,7,-4
Arizona,12,-21
California,16,-28
Colorado,6,-6
Connecticut,16,-13
Florida,15,-11
Georgia,-3,8
Iowa,5,-6
Idaho,12,-3
Illinois,3,-6
Indiana,4,-7
Kansas,6,-2
Kentucky,6,-4
Louisiana,12,-8
Massachusetts,10,-5
Maryland,14,-12
Maine,5,-4
Michigan,9,-6
Minnesota,8,-11
Missouri,5,-6
Mississippi,0,1
Montana,9,-7
North Carolina,5,-4
North Dakota,17,-15
Nebraska,5,-3
New Hampshire,13,-10
New Jersey,12,-6
New Mexico,6,-11
Nevada,10,-3
New York,12,-7
Ohio,11,-7
Oklahoma,-2,0
Oregon,15,-18
Pennsylvania,17,-6
Rhode Island,2,5
South Carolina,2,-2
South Dakota,9,-9
Tennesee,5,0
Texas,2,-6
Utah,14,-19
Virginia,11,-6
Vermont,6,-3
Washington,17,-24
Wisconsin,8,-8
West Virginia,10,1
Wyoming,15,-17